danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.931,0.604,0,-1.41,0,0.0573,0.456,0.0,0.0488,0.864,129.926,audio_features,0EPxmvsG1BY5td4aTOkWBF,spotify:track:0EPxmvsG1BY5td4aTOkWBF,https://api.spotify.com/v1/tracks/0EPxmvsG1BY5td4aTOkWBF,https://api.spotify.com/v1/audio-analysis/0EPxmvsG1BY5td4aTOkWBF,144039,4
0.788,0.43,11,-7.757,1,0.0419,0.537,0.00261,0.0936,0.461,121.996,audio_features,1a5Yu5L18qNxVhXx38njON,spotify:track:1a5Yu5L18qNxVhXx38njON,https://api.spotify.com/v1/tracks/1a5Yu5L18qNxVhXx38njON,https://api.spotify.com/v1/audio-analysis/1a5Yu5L18qNxVhXx38njON,192846,4
0.632,0.95,7,-2.85,0,0.111,0.482,0.0,0.84,0.596,154.006,audio_features,2wFnRPjuqwNySFiK0Qfg8L,spotify:track:2wFnRPjuqwNySFiK0Qfg8L,https://api.spotify.com/v1/tracks/2wFnRPjuqwNySFiK0Qfg8L,https://api.spotify.com/v1/audio-analysis/2wFnRPjuqwNySFiK0Qfg8L,174653,4
0.855,0.601,6,-5.902,0,0.0346,0.424,0.0,0.241,0.776,124.016,audio_features,45wqPwIH4A5cr2IyyD4WKf,spotify:track:45wqPwIH4A5cr2IyyD4WKf,https://api.spotify.com/v1/tracks/45wqPwIH4A5cr2IyyD4WKf,https://api.spotify.com/v1/audio-analysis/45wqPwIH4A5cr2IyyD4WKf,174663,4
0.647,0.93,8,-3.147,0,0.0636,0.0916,0.0,0.401,0.848,133.966,audio_features,6zCqeUUqLb2CapBmVwAHll,spotify:track:6zCqeUUqLb2CapBmVwAHll,https://api.spotify.com/v1/tracks/6zCqeUUqLb2CapBmVwAHll,https://api.spotify.com/v1/audio-analysis/6zCqeUUqLb2CapBmVwAHll,183627,4
0.599,0.65,9,-4.394,1,0.0263,0.695,0.0,0.969,0.346,91.989,audio_features,2CW04trIoYMbroZWDzPAjs,spotify:track:2CW04trIoYMbroZWDzPAjs,https://api.spotify.com/v1/tracks/2CW04trIoYMbroZWDzPAjs,https://api.spotify.com/v1/audio-analysis/2CW04trIoYMbroZWDzPAjs,174920,4
0.818,0.84,5,-3.328,1,0.092,0.433,1.16e-06,0.114,0.889,99.004,audio_features,4FxumkF81ICxITeqxx4nK9,spotify:track:4FxumkF81ICxITeqxx4nK9,https://api.spotify.com/v1/tracks/4FxumkF81ICxITeqxx4nK9,https://api.spotify.com/v1/audio-analysis/4FxumkF81ICxITeqxx4nK9,206270,4
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
0.778,0.826,1,-2.798,0,0.212,0.206,0.0,0.761,0.759,139.042,audio_features,2DAGCHu5aoo2FOjmtU9ojo,spotify:track:2DAGCHu5aoo2FOjmtU9ojo,https://api.spotify.com/v1/tracks/2DAGCHu5aoo2FOjmtU9ojo,https://api.spotify.com/v1/audio-analysis/2DAGCHu5aoo2FOjmtU9ojo,207104,4
0.852,0.684,4,-5.915,0,0.0377,0.686,1.76e-05,0.145,0.616,126.08,audio_features,38MpAndIjGAyVdcC6npX95,spotify:track:38MpAndIjGAyVdcC6npX95,https://api.spotify.com/v1/tracks/38MpAndIjGAyVdcC6npX95,https://api.spotify.com/v1/audio-analysis/38MpAndIjGAyVdcC6npX95,201905,4
0.607,0.869,8,-3.664,0,0.0896,0.0827,0.0,0.42,0.591,135.533,audio_features,0jIitZeIQRTaZgFQf2WpGK,spotify:track:0jIitZeIQRTaZgFQf2WpGK,https://api.spotify.com/v1/tracks/0jIitZeIQRTaZgFQf2WpGK,https://api.spotify.com/v1/audio-analysis/0jIitZeIQRTaZgFQf2WpGK,162960,4
0.63,0.827,9,-4.65,1,0.0687,0.237,0.0,0.646,0.484,125.977,audio_features,2d3TbSkAscvT3QRQalq6uT,spotify:track:2d3TbSkAscvT3QRQalq6uT,https://api.spotify.com/v1/tracks/2d3TbSkAscvT3QRQalq6uT,https://api.spotify.com/v1/audio-analysis/2d3TbSkAscvT3QRQalq6uT,162735,4
0.91,0.804,9,-4.76,0,0.0996,0.177,0.0,0.203,0.712,129.929,audio_features,7DRP2VOMpy1rrk3iYFLCW9,spotify:track:7DRP2VOMpy1rrk3iYFLCW9,https://api.spotify.com/v1/tracks/7DRP2VOMpy1rrk3iYFLCW9,https://api.spotify.com/v1/audio-analysis/7DRP2VOMpy1rrk3iYFLCW9,171692,4
0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,audio_features,6DNtNfH8hXkqOX1sjqmI7p,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,https://api.spotify.com/v1/tracks/6DNtNfH8hXkqOX1sjqmI7p,https://api.spotify.com/v1/audio-analysis/6DNtNfH8hXkqOX1sjqmI7p,185352,4
0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,audio_features,5aAx2yezTd8zXrkmtKl66Z,spotify:track:5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,230453,4
0.482,0.735,0,-4.566,1,0.134,0.227,0.0,0.72,0.406,140.532,audio_features,6SwI4OplF8m5NH8wHKIps8,spotify:track:6SwI4OplF8m5NH8wHKIps8,https://api.spotify.com/v1/tracks/6SwI4OplF8m5NH8wHKIps8,https://api.spotify.com/v1/audio-analysis/6SwI4OplF8m5NH8wHKIps8,187133,4
0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,audio_features,4pdPtRcBmOSQDlJ3Fk945m,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m,205947,4
0.509,0.803,0,-6.743,1,0.04,0.684,0.000539,0.463,0.651,166.018,audio_features,000xYdQfIZ4pDmBGzQalKU,spotify:track:000xYdQfIZ4pDmBGzQalKU,https://api.spotify.com/v1/tracks/000xYdQfIZ4pDmBGzQalKU,https://api.spotify.com/v1/audio-analysis/000xYdQfIZ4pDmBGzQalKU,187119,4
0.655,0.913,7,-3.585,0,0.133,0.427,0.0,0.105,0.918,171.961,audio_features,2Gvn46nwyQhUnQiFhlP7WX,spotify:track:2Gvn46nwyQhUnQiFhlP7WX,https://api.spotify.com/v1/tracks/2Gvn46nwyQhUnQiFhlP7WX,https://api.spotify.com/v1/audio-analysis/2Gvn46nwyQhUnQiFhlP7WX,150349,4
0.585,0.984,6,-3.473,0,0.109,0.357,0.0,0.91,0.683,150.045,audio_features,6vve9WKW5I7fQzkU8dNsUE,spotify:track:6vve9WKW5I7fQzkU8dNsUE,https://api.spotify.com/v1/tracks/6vve9WKW5I7fQzkU8dNsUE,https://api.spotify.com/v1/audio-analysis/6vve9WKW5I7fQzkU8dNsUE,181013,4
0.619,0.925,8,-2.424,1,0.148,0.176,0.0,0.272,0.802,169.974,audio_features,2GfxgssRHvY1azHtaRqKoK,spotify:track:2GfxgssRHvY1azHtaRqKoK,https://api.spotify.com/v1/tracks/2GfxgssRHvY1azHtaRqKoK,https://api.spotify.com/v1/audio-analysis/2GfxgssRHvY1azHtaRqKoK,184033,4
0.497,0.834,0,-3.218,1,0.0571,0.654,0.0,0.372,0.442,117.196,audio_features,41mt7YrfLrIc4EQJZFCJtw,spotify:track:41mt7YrfLrIc4EQJZFCJtw,https://api.spotify.com/v1/tracks/41mt7YrfLrIc4EQJZFCJtw,https://api.spotify.com/v1/audio-analysis/41mt7YrfLrIc4EQJZFCJtw,162480,3
0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,audio_features,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,173987,4
0.94,0.758,1,-1.632,1,0.319,0.588,6.21e-06,0.0594,0.87,129.949,audio_features,4aAq1afusFG6jRiOSHQZvN,spotify:track:4aAq1afusFG6jRiOSHQZvN,https://api.spotify.com/v1/tracks/4aAq1afusFG6jRiOSHQZvN,https://api.spotify.com/v1/audio-analysis/4aAq1afusFG6jRiOSHQZvN,123001,4
0.703,0.84,4,-4.243,1,0.05,0.662,0.0,0.934,0.813,135.499,audio_features,12wiyBZqQ3mOU7AfygXJCw,spotify:track:12wiyBZqQ3mOU7AfygXJCw,https://api.spotify.com/v1/tracks/12wiyBZqQ3mOU7AfygXJCw,https://api.spotify.com/v1/audio-analysis/12wiyBZqQ3mOU7AfygXJCw,184889,4
0.661,0.918,10,-2.359,1,0.0686,0.0291,0.0,0.777,0.736,100.048,audio_features,3dRBzTOu9polrH9U6Vh2zw,spotify:track:3dRBzTOu9polrH9U6Vh2zw,https://api.spotify.com/v1/tracks/3dRBzTOu9polrH9U6Vh2zw,https://api.spotify.com/v1/audio-analysis/3dRBzTOu9polrH9U6Vh2zw,195955,4
0.701,0.957,4,-2.974,0,0.0887,0.419,0.0,0.945,0.819,129.05,audio_features,5SnQDj5REQVvAdSlhqkEcE,spotify:track:5SnQDj5REQVvAdSlhqkEcE,https://api.spotify.com/v1/tracks/5SnQDj5REQVvAdSlhqkEcE,https://api.spotify.com/v1/audio-analysis/5SnQDj5REQVvAdSlhqkEcE,213600,4
0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989,audio_features,1vvNmPOiUuyCbgWmtc6yfm,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,https://api.spotify.com/v1/tracks/1vvNmPOiUuyCbgWmtc6yfm,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,219160,4
0.58,0.768,7,-3.483,1,0.0382,0.485,0.0,0.452,0.675,134.96,audio_features,1xFgXCY8Zvo76gHg4RgUaU,spotify:track:1xFgXCY8Zvo76gHg4RgUaU,https://api.spotify.com/v1/tracks/1xFgXCY8Zvo76gHg4RgUaU,https://api.spotify.com/v1/audio-analysis/1xFgXCY8Zvo76gHg4RgUaU,195370,4
0.783,0.623,7,-6.126,1,0.08,0.338,0.0,0.0975,0.447,100.048,audio_features,5MFzQMkrl1FOOng9tq6R9r,spotify:track:5MFzQMkrl1FOOng9tq6R9r,https://api.spotify.com/v1/tracks/5MFzQMkrl1FOOng9tq6R9r,https://api.spotify.com/v1/audio-analysis/5MFzQMkrl1FOOng9tq6R9r,214480,4
0.55,0.878,0,-2.885,1,0.0509,0.321,5.96e-06,0.89,0.448,117.964,audio_features,0Zu7NVn4IvfYuEIrD11UVr,spotify:track:0Zu7NVn4IvfYuEIrD11UVr,https://api.spotify.com/v1/tracks/0Zu7NVn4IvfYuEIrD11UVr,https://api.spotify.com/v1/audio-analysis/0Zu7NVn4IvfYuEIrD11UVr,174293,4
0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145,audio_features,4pLwZjInHj3SimIyN9SnOz,spotify:track:4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz,226160,4
0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,audio_features,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983,4
0.965,0.811,1,-1.756,0,0.134,0.314,0.000148,0.187,0.161,130.015,audio_features,4SCH5CuivFcShLpTg8lYOf,spotify:track:4SCH5CuivFcShLpTg8lYOf,https://api.spotify.com/v1/tracks/4SCH5CuivFcShLpTg8lYOf,https://api.spotify.com/v1/audio-analysis/4SCH5CuivFcShLpTg8lYOf,187925,4
0.571,0.911,0,-3.298,1,0.181,0.708,0.0,0.821,0.63,169.985,audio_features,1ypcU9264wnBwPvmrIy4fx,spotify:track:1ypcU9264wnBwPvmrIy4fx,https://api.spotify.com/v1/tracks/1ypcU9264wnBwPvmrIy4fx,https://api.spotify.com/v1/audio-analysis/1ypcU9264wnBwPvmrIy4fx,144747,4
0.728,0.739,7,-2.729,1,0.0272,0.539,0.0,0.276,0.722,106.017,audio_features,2InJDvDcA4RXEeA9njdibl,spotify:track:2InJDvDcA4RXEeA9njdibl,https://api.spotify.com/v1/tracks/2InJDvDcA4RXEeA9njdibl,https://api.spotify.com/v1/audio-analysis/2InJDvDcA4RXEeA9njdibl,195573,4
0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,audio_features,6mICuAdrwEjh6Y6lroV2Kg,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,195840,4
0.606,0.947,9,-3.422,1,0.0465,0.306,0.0,0.454,0.907,169.857,audio_features,0GR7ZABhVF9GbxghIx2RRv,spotify:track:0GR7ZABhVF9GbxghIx2RRv,https://api.spotify.com/v1/tracks/0GR7ZABhVF9GbxghIx2RRv,https://api.spotify.com/v1/audio-analysis/0GR7ZABhVF9GbxghIx2RRv,156000,4
0.608,0.863,0,-1.799,1,0.0326,0.116,1.07e-06,0.585,0.691,136.898,audio_features,1WCn5QBp0Kl9uHrR0J02GS,spotify:track:1WCn5QBp0Kl9uHrR0J02GS,https://api.spotify.com/v1/tracks/1WCn5QBp0Kl9uHrR0J02GS,https://api.spotify.com/v1/audio-analysis/1WCn5QBp0Kl9uHrR0J02GS,236501,4
0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,audio_features,69bp2EbF7Q2rqc5N3ylezZ,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,https://api.spotify.com/v1/tracks/69bp2EbF7Q2rqc5N3ylezZ,https://api.spotify.com/v1/audio-analysis/69bp2EbF7Q2rqc5N3ylezZ,200787,4
0.46,0.937,5,-2.96,0,0.264,0.0699,0.0,0.847,0.578,166.095,audio_features,4GQVVsUnMbZeKIx9vguKlg,spotify:track:4GQVVsUnMbZeKIx9vguKlg,https://api.spotify.com/v1/tracks/4GQVVsUnMbZeKIx9vguKlg,https://api.spotify.com/v1/audio-analysis/4GQVVsUnMbZeKIx9vguKlg,170853,4
0.43,0.919,0,-3.744,1,0.145,0.699,0.0,0.692,0.602,170.007,audio_features,62LiYpeFoJaixqkaNRGg47,spotify:track:62LiYpeFoJaixqkaNRGg47,https://api.spotify.com/v1/tracks/62LiYpeFoJaixqkaNRGg47,https://api.spotify.com/v1/audio-analysis/62LiYpeFoJaixqkaNRGg47,176933,4
0.687,0.878,5,-4.193,1,0.0491,0.361,0.0,0.211,0.42,140.031,audio_features,7CmuLM2vfzA78iHeqastoP,spotify:track:7CmuLM2vfzA78iHeqastoP,https://api.spotify.com/v1/tracks/7CmuLM2vfzA78iHeqastoP,https://api.spotify.com/v1/audio-analysis/7CmuLM2vfzA78iHeqastoP,169467,4
0.461,0.477,0,-6.454,1,0.0314,0.801,0.0,0.663,0.459,203.879,audio_features,0phVJ23NJlruwtt1XCm94N,spotify:track:0phVJ23NJlruwtt1XCm94N,https://api.spotify.com/v1/tracks/0phVJ23NJlruwtt1XCm94N,https://api.spotify.com/v1/audio-analysis/0phVJ23NJlruwtt1XCm94N,190227,4
0.625,0.888,11,-2.359,1,0.0382,0.384,0.0,0.874,0.544,97.996,audio_features,2KGv51jgAz8OTjNPyRryfq,spotify:track:2KGv51jgAz8OTjNPyRryfq,https://api.spotify.com/v1/tracks/2KGv51jgAz8OTjNPyRryfq,https://api.spotify.com/v1/audio-analysis/2KGv51jgAz8OTjNPyRryfq,207520,4
